ts,level,latency_ms,status_code,ok
1780339139.2097073,20,3642.8,200,True
1780339147.8830297,20,10012.8,,False
1780339162.937761,20,10004.6,,False
1780339177.9857483,20,2520.7,200,True
1780339185.5424533,20,3.1,200,True
1780339190.5744145,20,3.1,200,True
1780339195.6085827,20,3.3,200,True
1780339200.644005,20,3.2,200,True
1780339205.6744325,20,3.3,200,True
1780339210.7168007,50,17500.8,,False
1780339233.2606351,50,10006.4,,False
1780339248.3178327,50,10012.1,,False
1780339263.3833103,50,10008.2,,False
1780339278.4591265,50,10009.7,,False
1780339293.501546,50,10012.9,,False
1780339308.5517082,50,4724.0,200,True
1780339318.303929,50,3.6,200,True
1780339323.3463693,50,3.3,200,True
1780339328.3808181,50,2.9,200,True
1780339333.4153566,50,3.2,200,True
1780339338.4621923,50,3.0,200,True
1780339343.4958746,50,3.0,200,True
1780339348.5290513,100,10012.4,,False
1780339363.5741456,100,10004.6,,False
1780339378.6184924,100,10012.8,,False
1780339393.6724584,100,10013.0,,False
1780339408.7292562,100,10012.9,,False
1780339423.7945008,100,10007.1,,False
1780339438.840885,100,10010.4,,False
1780339453.8840537,100,10012.6,,False
1780339468.9404478,100,10011.8,,False
1780339483.995189,100,10012.4,,False
1780339499.0500996,100,10012.6,,False
1780339514.1052086,100,10012.5,,False
1780339529.1579874,100,284.1,200,True
1780339534.5021236,100,3.1,200,True
1780339539.5574758,100,3.0,200,True
1780339544.5890596,100,3.0,200,True
1780339549.623642,100,3.0,200,True
1780339554.6585863,100,3.0,200,True
1780339559.7031908,150,10011.1,,False
1780339574.7465591,150,10012.5,,False
1780339589.8029046,150,10004.1,,False
1780339604.839714,150,10011.8,,False
1780339619.8912334,150,10012.7,,False
1780339634.9441245,150,10012.7,,False
1780339649.997812,150,10012.5,,False
1780339665.0496564,150,10013.1,,False
1780339680.0947423,150,10012.3,,False
1780339695.1591167,150,10012.3,,False
1780339710.2143872,150,10010.6,,False
1780339725.2808175,150,10005.4,,False
1780339740.3383777,150,10013.3,,False
1780339755.393698,150,10009.3,,False
1780339770.4462636,150,10012.9,,False
1780339785.5018842,150,10003.8,,False
1780339800.5557773,150,10008.9,,False
1780339815.6042125,150,10012.4,,False
1780339830.6575701,150,3705.4,200,True
1780339839.4044602,150,3.7,200,True
1780339844.4491107,150,3.3,200,True
1780339849.4844158,150,2.9,200,True
1780339854.5187294,150,2.5,200,True
1780339859.5636241,150,2.6,200,True
1780339864.5968459,200,10009.0,,False
1780339879.6389537,200,10012.8,,False
1780339894.6955595,200,10012.6,,False
1780339909.7452471,200,10012.5,,False
1780339924.812196,200,10010.3,,False
1780339939.8823044,200,10009.2,,False
1780339954.9242966,200,10012.9,,False
1780339969.9681065,200,10013.3,,False
1780339985.0351183,200,10013.0,,False
1780340000.0894208,200,10012.9,,False
1780340015.1350367,200,10013.0,,False
1780340030.1993978,200,10012.5,,False
1780340045.251713,200,10005.2,,False
1780340060.2979403,200,10012.8,,False
1780340075.36657,200,10003.3,,False
1780340090.4132037,200,10010.2,,False
1780340105.46802,200,10012.7,,False
1780340120.524198,200,10012.6,,False
1780340135.5800624,200,10012.0,,False
1780340150.6245337,200,10012.9,,False
1780340165.6817822,200,10011.4,,False
1780340180.7367587,200,10012.6,,False
1780340195.782381,200,10010.5,,False
1780340210.8472161,200,10010.4,,False
1780340225.8900452,200,10013.3,,False
1780340240.9449577,200,10012.5,,False
1780340256.0211613,200,3.1,200,True
