ts,level,gpu_index,util,mem_used,mem_total,power
1780339139.2097073,20,0,0.0,41713.0,46068.0,88.58
1780339147.8830297,20,0,99.0,41713.0,46068.0,258.37
1780339162.937761,20,0,99.0,41713.0,46068.0,282.79
1780339177.9857483,20,0,99.0,41713.0,46068.0,269.94
1780339185.5424533,20,0,0.0,41713.0,46068.0,92.3
1780339190.5744145,20,0,0.0,41713.0,46068.0,124.73
1780339195.6085827,20,0,0.0,41713.0,46068.0,91.39
1780339200.644005,20,0,0.0,41713.0,46068.0,91.19
1780339205.6744325,20,0,0.0,41713.0,46068.0,90.85
1780339210.7168007,50,0,0.0,41713.0,46068.0,90.45
1780339233.2606351,50,0,99.0,41713.0,46068.0,249.57
1780339248.3178327,50,0,99.0,41713.0,46068.0,288.39
1780339263.3833103,50,0,99.0,41713.0,46068.0,287.01
1780339278.4591265,50,0,0.0,41713.0,46068.0,113.82
1780339293.501546,50,0,98.0,41713.0,46068.0,270.41
1780339308.5517082,50,0,0.0,41713.0,46068.0,94.27
1780339318.303929,50,0,99.0,41713.0,46068.0,268.66
1780339323.3463693,50,0,0.0,41713.0,46068.0,93.72
1780339328.3808181,50,0,0.0,41713.0,46068.0,92.48
1780339333.4153566,50,0,0.0,41713.0,46068.0,91.68
1780339338.4621923,50,0,0.0,41713.0,46068.0,91.33
1780339343.4958746,50,0,0.0,41713.0,46068.0,91.34
1780339348.5290513,100,0,0.0,41713.0,46068.0,91.18
1780339363.5741456,100,0,99.0,41713.0,46068.0,270.72
1780339378.6184924,100,0,99.0,41713.0,46068.0,269.53
1780339393.6724584,100,0,99.0,41713.0,46068.0,277.17
1780339408.7292562,100,0,98.0,41713.0,46068.0,149.34
1780339423.7945008,100,0,0.0,41713.0,46068.0,125.9
1780339438.840885,100,0,0.0,41713.0,46068.0,190.47
1780339453.8840537,100,0,99.0,41713.0,46068.0,268.46
1780339468.9404478,100,0,99.0,41713.0,46068.0,272.18
1780339483.995189,100,0,99.0,41713.0,46068.0,269.66
1780339499.0500996,100,0,99.0,41713.0,46068.0,269.67
1780339514.1052086,100,0,99.0,41713.0,46068.0,273.89
1780339529.1579874,100,0,99.0,41713.0,46068.0,277.33
1780339534.5021236,100,0,99.0,41713.0,46068.0,268.83
1780339539.5574758,100,0,0.0,41713.0,46068.0,94.36
1780339544.5890596,100,0,0.0,41713.0,46068.0,92.55
1780339549.623642,100,0,0.0,41713.0,46068.0,92.17
1780339554.6585863,100,0,0.0,41713.0,46068.0,91.46
1780339559.7031908,150,0,0.0,41713.0,46068.0,91.06
1780339574.7465591,150,0,99.0,41713.0,46068.0,270.11
1780339589.8029046,150,0,0.0,41713.0,46068.0,144.44
1780339604.839714,150,0,99.0,41713.0,46068.0,289.0
1780339619.8912334,150,0,99.0,41713.0,46068.0,272.4
1780339634.9441245,150,0,99.0,41713.0,46068.0,281.74
1780339649.997812,150,0,98.0,41713.0,46068.0,289.37
1780339665.0496564,150,0,0.0,41713.0,46068.0,193.81
1780339680.0947423,150,0,99.0,41713.0,46068.0,270.66
1780339695.1591167,150,0,99.0,41713.0,46068.0,285.22
1780339710.2143872,150,0,99.0,41713.0,46068.0,203.32
1780339725.2808175,150,0,99.0,41713.0,46068.0,281.21
1780339740.3383777,150,0,99.0,41713.0,46068.0,269.8
1780339755.393698,150,0,99.0,41713.0,46068.0,280.96
1780339770.4462636,150,0,99.0,41713.0,46068.0,290.14
1780339785.5018842,150,0,99.0,41713.0,46068.0,284.96
1780339800.5557773,150,0,99.0,41713.0,46068.0,266.11
1780339815.6042125,150,0,99.0,41713.0,46068.0,241.83
1780339830.6575701,150,0,99.0,41713.0,46068.0,290.66
1780339839.4044602,150,0,99.0,41713.0,46068.0,273.03
1780339844.4491107,150,0,0.0,41713.0,46068.0,93.78
1780339849.4844158,150,0,0.0,41713.0,46068.0,92.55
1780339854.5187294,150,0,0.0,41713.0,46068.0,92.03
1780339859.5636241,150,0,0.0,41713.0,46068.0,92.05
1780339864.5968459,200,0,0.0,41713.0,46068.0,91.39
1780339879.6389537,200,0,99.0,41713.0,46068.0,265.56
1780339894.6955595,200,0,99.0,41713.0,46068.0,268.29
1780339909.7452471,200,0,99.0,41713.0,46068.0,269.37
1780339924.812196,200,0,99.0,41713.0,46068.0,272.89
1780339939.8823044,200,0,0.0,41713.0,46068.0,129.35
1780339954.9242966,200,0,0.0,41713.0,46068.0,166.44
1780339969.9681065,200,0,99.0,41713.0,46068.0,279.35
1780339985.0351183,200,0,99.0,41713.0,46068.0,274.55
1780340000.0894208,200,0,0.0,41713.0,46068.0,161.82
1780340015.1350367,200,0,99.0,41713.0,46068.0,274.26
1780340030.1993978,200,0,99.0,41713.0,46068.0,264.27
1780340045.251713,200,0,99.0,41713.0,46068.0,274.17
1780340060.2979403,200,0,99.0,41713.0,46068.0,188.65
1780340075.36657,200,0,99.0,41713.0,46068.0,167.66
1780340090.4132037,200,0,99.0,41713.0,46068.0,285.55
1780340105.46802,200,0,99.0,41713.0,46068.0,270.98
1780340120.524198,200,0,99.0,41713.0,46068.0,276.43
1780340135.5800624,200,0,0.0,41713.0,46068.0,114.2
1780340150.6245337,200,0,99.0,41713.0,46068.0,268.42
1780340165.6817822,200,0,99.0,41713.0,46068.0,271.65
1780340180.7367587,200,0,0.0,41713.0,46068.0,125.83
1780340195.782381,200,0,99.0,41713.0,46068.0,271.48
1780340210.8472161,200,0,0.0,41713.0,46068.0,130.14
1780340225.8900452,200,0,99.0,41713.0,46068.0,289.89
1780340240.9449577,200,0,99.0,41713.0,46068.0,290.0
1780340256.0211613,200,0,99.0,41713.0,46068.0,287.92
